model,split_mode,train_fraction,run_idx,relation,relation_id,matrix_id,wave,reflexivity,symmetry,transitive,entity_count,anchor_entity_count,query_entity_count,transfer_matrix_count,transfer_train_rows,heldout_support_rows,support_pool_rows,evaluation_pool_rows,train_rows,valid_rows,test_rows,fit_time_s,predict_time_s,f1,precision,recall,accuracy,positive_rate_true,positive_rate_pred,tp,fp,fn,tn,average_precision,roc_auc
tabpfn,leave_matrix_out_support,0.8,0,symmetric,A01,A01_m001,1,none,symmetric,0,50,50,0,9,22500,2000,2500,500,24500,50,450,1.3253175020217896,2.729501424008049,0.06557377049180328,0.5714285714285714,0.034782608695652174,0.49333333333333335,0.5111111111111111,0.03111111111111111,8,6,222,214,0.5089012239104845,0.4898715415019762
tabicl,leave_matrix_out_support,0.8,0,symmetric,A01,A01_m001,1,none,symmetric,0,50,50,0,9,22500,2000,2500,500,24500,50,450,0.653534812037833,1.404070031014271,0.6188811188811189,0.5175438596491229,0.7695652173913043,0.5155555555555555,0.5111111111111111,0.76,177,165,53,55,0.5113845149463814,0.4985770750988142
tabpfn,leave_matrix_out_support,0.8,1,symmetric,A01,A01_m001,1,none,symmetric,0,50,50,0,9,22500,2000,2500,500,24500,50,450,1.1928710150532424,2.3656434660078958,0.0,0.0,0.0,0.4911111111111111,0.5088888888888888,0.0,0,0,229,221,0.4963789508229171,0.4917504791637851
tabicl,leave_matrix_out_support,0.8,1,symmetric,A01,A01_m001,1,none,symmetric,0,50,50,0,9,22500,2000,2500,500,24500,50,450,0.42664166702888906,1.3320507389726117,0.5697211155378487,0.5238095238095238,0.6244541484716157,0.52,0.5088888888888888,0.6066666666666667,143,130,86,91,0.5145754763674035,0.5190875140785236
tabpfn,leave_matrix_out_support,0.8,2,symmetric,A01,A01_m001,1,none,symmetric,0,50,50,0,9,22500,2000,2500,500,24500,50,450,1.2021793599706143,2.3655624290695414,0.008583690987124463,1.0,0.004310344827586207,0.4866666666666667,0.5155555555555555,0.0022222222222222222,1,0,231,218,0.5176137684631316,0.47925893704523886
tabicl,leave_matrix_out_support,0.8,2,symmetric,A01,A01_m001,1,none,symmetric,0,50,50,0,9,22500,2000,2500,500,24500,50,450,0.4121594129828736,1.3375627489294857,0.612736660929432,0.5100286532951289,0.7672413793103449,0.5,0.5155555555555555,0.7755555555555556,178,171,54,47,0.517354798200998,0.5031141252768112
tabpfn,leave_matrix_out_support,0.8,3,symmetric,A01,A01_m001,1,none,symmetric,0,50,50,0,9,22500,2000,2500,500,24500,50,450,1.189932167995721,2.391417702077888,0.3161290322580645,0.5157894736842106,0.22790697674418606,0.5288888888888889,0.4777777777777778,0.2111111111111111,49,46,166,189,0.4789683960802406,0.49275606135576444
tabicl,leave_matrix_out_support,0.8,3,symmetric,A01,A01_m001,1,none,symmetric,0,50,50,0,9,22500,2000,2500,500,24500,50,450,0.4661597249796614,1.569867626996711,0.6296296296296297,0.49340369393139843,0.8697674418604651,0.5111111111111111,0.4777777777777778,0.8422222222222222,187,192,28,43,0.47402638436084044,0.5038099950519546
tabpfn,leave_matrix_out_support,0.8,4,symmetric,A01,A01_m001,1,none,symmetric,0,50,50,0,9,22500,2000,2500,500,24500,50,450,1.2153873210772872,2.397979499073699,0.5208333333333334,0.4752851711026616,0.576036866359447,0.4888888888888889,0.4822222222222222,0.5844444444444444,125,138,92,95,0.48959026568194164,0.5069322204861454
tabicl,leave_matrix_out_support,0.8,4,symmetric,A01,A01_m001,1,none,symmetric,0,50,50,0,9,22500,2000,2500,500,24500,50,450,0.4332286430289969,1.5778924459591508,0.6262975778546713,0.5013850415512465,0.8341013824884793,0.52,0.4822222222222222,0.8022222222222222,181,180,36,53,0.486702155896301,0.5139237752417871
tabpfn,leave_matrix_out_support,0.8,5,symmetric,A01,A01_m001,1,none,symmetric,0,50,50,0,9,22500,2000,2500,500,24500,50,450,1.2041083549847826,2.406003910000436,0.5786618444846293,0.4804804804804805,0.7272727272727273,0.4822222222222222,0.4888888888888889,0.74,160,173,60,57,0.5041745393685511,0.5090711462450592
tabicl,leave_matrix_out_support,0.8,5,symmetric,A01,A01_m001,1,none,symmetric,0,50,50,0,9,22500,2000,2500,500,24500,50,450,0.43781292508356273,1.3337759870337322,0.6396103896103896,0.49747474747474746,0.8954545454545455,0.5066666666666667,0.4888888888888889,0.88,197,199,23,31,0.4838609772665916,0.5101383399209486
tabpfn,leave_matrix_out_support,0.8,6,symmetric,A01,A01_m001,1,none,symmetric,0,50,50,0,9,22500,2000,2500,500,24500,50,450,1.1934597080107778,2.403416931978427,0.17985611510791366,0.5208333333333334,0.10869565217391304,0.49333333333333335,0.5111111111111111,0.10666666666666667,25,23,205,197,0.5149605053367545,0.49641304347826093
tabicl,leave_matrix_out_support,0.8,6,symmetric,A01,A01_m001,1,none,symmetric,0,50,50,0,9,22500,2000,2500,500,24500,50,450,0.44999679806642234,1.5643080919981003,0.6429840142095915,0.5435435435435435,0.7869565217391304,0.5533333333333333,0.5111111111111111,0.74,181,152,49,68,0.5260092524059826,0.53149209486166
tabpfn,leave_matrix_out_support,0.8,7,symmetric,A01,A01_m001,1,none,symmetric,0,50,50,0,9,22500,2000,2500,500,24500,50,450,1.2029680509585887,2.443739139009267,0.2268041237113402,0.5076923076923077,0.14601769911504425,0.5,0.5022222222222222,0.14444444444444443,33,32,193,192,0.5167711224734629,0.5148151074589127
