model,train_fraction,run_idx,relation,relation_id,wave,reflexivity,symmetry,transitive,train_rows,valid_rows,test_rows,fit_time_s,predict_time_s,f1,precision,recall,accuracy,positive_rate_true,positive_rate_pred,tp,fp,fn,tn,average_precision,roc_auc
tabpfn,0.8,0,symmetric,A01,1,none,symmetric,0,2000,250,250,0.3614916370715946,0.7845494429348037,0.6318840579710145,0.48660714285714285,0.9008264462809917,0.492,0.484,0.896,109,115,12,14,0.4827882660926087,0.4885322570311999
tabicl,0.8,0,symmetric,A01,1,none,symmetric,0,2000,250,250,0.37008015206083655,0.2533839850220829,0.6068111455108359,0.48514851485148514,0.8099173553719008,0.492,0.484,0.808,98,104,23,25,0.531166025618967,0.5481773335895956
tabpfn,0.8,1,symmetric,A01,1,none,symmetric,0,2000,250,250,0.5345476539805532,0.38555620901752263,0.6413043478260869,0.472,1.0,0.472,0.472,1.0,118,132,0,0,0.5034722303673488,0.5090844889573704
tabicl,0.8,1,symmetric,A01,1,none,symmetric,0,2000,250,250,0.3489755099872127,0.16334149590693414,0.6392961876832844,0.48878923766816146,0.923728813559322,0.508,0.472,0.892,109,114,9,18,0.5088539293502062,0.5198061119671289
tabpfn,0.8,2,symmetric,A01,1,none,symmetric,0,2000,250,250,0.24072690692264587,0.3905936779920012,0.0,0.0,0.0,0.456,0.544,0.0,0,0,136,114,0.5594661644801694,0.5103521671826625
tabicl,0.8,2,symmetric,A01,1,none,symmetric,0,2000,250,250,0.3451840460766107,0.16452565102372319,0.5151515151515151,0.53125,0.5,0.488,0.544,0.512,68,60,68,54,0.5633981256386169,0.5118679050567595
tabpfn,0.8,3,symmetric,A01,1,none,symmetric,0,2000,250,250,0.2670008890563622,0.3873875599820167,0.0,0.0,0.0,0.492,0.508,0.0,0,0,127,123,0.5348797635318695,0.5572946674348633
tabicl,0.8,3,symmetric,A01,1,none,symmetric,0,2000,250,250,0.35055795300286263,0.16224569000769407,0.5806451612903226,0.5328947368421053,0.6377952755905512,0.532,0.508,0.608,81,71,46,52,0.49131942721087746,0.49727930350169647
tabpfn,0.8,4,symmetric,A01,1,none,symmetric,0,2000,250,250,0.2592562399804592,0.3896937209647149,0.0,0.0,0.0,0.476,0.524,0.0,0,0,131,119,0.5371146158688633,0.5132144460837771
tabicl,0.8,4,symmetric,A01,1,none,symmetric,0,2000,250,250,0.3492834080243483,0.1621291710762307,0.5756457564575646,0.5571428571428572,0.5954198473282443,0.54,0.524,0.56,78,62,53,57,0.5505091276115017,0.5303739816537302
tabpfn,0.8,5,symmetric,A01,1,none,symmetric,0,2000,250,250,0.27430242800619453,0.3874344009673223,0.015037593984962405,1.0,0.007575757575757576,0.476,0.528,0.004,1,0,131,118,0.5655049692780444,0.5209938366718028
tabicl,0.8,5,symmetric,A01,1,none,symmetric,0,2000,250,250,0.35781686392147094,0.16144604294095188,0.4541832669322709,0.4789915966386555,0.4318181818181818,0.452,0.528,0.476,57,62,75,56,0.5420836113907215,0.5025359527478171
tabpfn,0.8,6,symmetric,A01,1,none,symmetric,0,2000,250,250,0.2556567450519651,0.38666936405934393,0.6520547945205479,0.4897119341563786,0.9754098360655737,0.492,0.488,0.972,119,124,3,4,0.479470993758727,0.4707351434426229
tabicl,0.8,6,symmetric,A01,1,none,symmetric,0,2000,250,250,0.34449435805436224,0.1630742170382291,0.6191950464396285,0.4975124378109453,0.819672131147541,0.508,0.488,0.804,100,101,22,27,0.46593295221470826,0.47553790983606564
tabpfn,0.8,7,symmetric,A01,1,none,symmetric,0,2000,250,250,0.2556509239366278,0.3903909190557897,0.4596774193548387,0.456,0.4634146341463415,0.464,0.492,0.5,57,68,66,59,0.48385566633390037,0.48863709109532033
tabicl,0.8,7,symmetric,A01,1,none,symmetric,0,2000,250,250,0.35463121603243053,0.16427583107724786,0.5611510791366906,0.5032258064516129,0.6341463414634146,0.512,0.492,0.62,78,77,45,50,0.47763786224855104,0.5020805326163499
tabpfn,0.8,8,symmetric,A01,1,none,symmetric,0,2000,250,250,0.24884958297479898,0.39652101299725473,0.04316546762589928,0.42857142857142855,0.022727272727272728,0.468,0.528,0.028,3,4,129,114,0.5366187241793419,0.5138353877760657
tabicl,0.8,8,symmetric,A01,1,none,symmetric,0,2000,250,250,0.3557590520940721,0.16290130699053407,0.41702127659574467,0.47572815533980584,0.3712121212121212,0.452,0.528,0.412,49,54,83,64,0.5045864245837165,0.446680790960452
tabpfn,0.8,9,symmetric,A01,1,none,symmetric,0,2000,250,250,0.24302842700853944,0.38595765794161707,0.0,0.0,0.0,0.444,0.556,0.0,0,0,139,111,0.5133150871137819,0.4583252317065266
