model,split_name,p_value,relation,average_precision_mean,average_precision_std,roc_auc_mean,roc_auc_std,f1_mean,f1_std,precision_mean,recall_mean,accuracy_mean,fit_time_mean_s,predict_time_mean_s,runs
tabicl,evidence,0.8,overall,0.5416698470685649,0.05414018988922625,0.9413462864368414,0.009598321114136504,0.29270476023455616,0.04476926455737531,0.19632175099708032,0.5905048138066552,0.9282058738005233,0.6012368046911434,2.927397882193327,10
tabpfn,evidence,0.8,overall,0.4210706081669874,0.06241784118927739,0.9064560900659224,0.010510892053300585,0.2234364157335078,0.04366119161366312,0.14638655413876656,0.5087893591777011,0.9090142483280023,1.8191864612861537,6.344249954877887,10
tabicl,evidence,0.4,overall,0.45888542416469597,0.016841868581543087,0.9264712663171435,0.007475010883691748,0.27511706488542353,0.06954511306458498,0.18599425120778065,0.5919132838445298,0.9142906997033677,0.5600075569003821,1.8721064488985575,10
tabpfn,evidence,0.4,overall,0.3538265868411346,0.02890884287424921,0.8691749832427211,0.013558717200063047,0.19561239487072246,0.05888834607629175,0.12492609078835093,0.5233677743681484,0.8786250218112022,1.194944788410794,4.244080273795407,10
tabicl,evidence,0.2,overall,0.34421286972228793,0.017648051434505076,0.8710881463089356,0.008967524601068507,0.20207900685627195,0.06609910716919418,0.134977418541128,0.4792986753745974,0.8943415039468217,0.5673118473961949,1.4077516855672,10
tabpfn,evidence,0.2,overall,0.19569519219245116,0.0550033415147756,0.7990869797441336,0.014549549618453941,0.10613847701663784,0.017150913988337294,0.06016651022549937,0.4711658477878308,0.7980805982550894,0.8886166622862219,3.396922142384574,10
tabicl,evidence,0.1,overall,0.26497259519419913,0.01986370076769473,0.7956609864993942,0.012498976345996926,0.1407410676785484,0.02534997173404937,0.08355068067872144,0.4849831697158087,0.8475480751753972,0.527780122787226,1.209024975716602,10
tabpfn,evidence,0.1,overall,0.16240168074883063,0.042945440350666775,0.7575079184318232,0.021065394958770942,0.09895451587977398,0.009701645481464233,0.05631777297150416,0.41835028065802626,0.8111418081355193,0.7570116627262905,3.037999395595398,10
tabicl,family,0.8,overall,0.5345507069823509,0.12117817870556234,0.952334342670707,0.02347710818582314,0.2778700198271345,0.14356163600929106,0.21487900679041022,0.49695731641939067,0.9260553129548763,0.653288772108499,3.4297752717859114,10
tabpfn,family,0.8,overall,0.31518364100458063,0.14326447975200765,0.9015496645719769,0.0423166314368931,0.15670544469034986,0.06885864675273767,0.10787289671113201,0.35488023758147597,0.9037845705967976,2.050606443674769,7.278352518496104,10
